Method,Accuracy,Std,F1_Macro
HOG,90.21428571428572,2.6735667531732723,89.55782312925172
AMST v4 (Proposed),89.28571428571429,2.0946968998021678,88.41292517006801
ResNet50,88.7142857142857,2.4907993963089554,87.93469387755101
EfficientNet,86.78571428571429,2.026608708444446,85.8047619047619
